aX,aY,aZ,gX,gY,gZ
0.092,-0.061,0.929,1.282,-4.517,-2.625
0.073,-0.028,0.924,-0.549,0.977,-5.005
0.023,0.053,0.998,-0.916,4.395,-3.845
0.019,0.029,1.059,0.793,7.141,1.099
0.051,-0.012,1.109,1.892,4.517,2.136
0.064,-0.013,1.084,0.977,-4.883,3.235
0.078,-0.021,1.007,0.061,-8.179,3.601
0.077,-0.011,0.981,-0.549,-9.216,3.479
0.098,-0.048,0.991,-1.343,-7.019,3.479
0.110,-0.063,0.968,-1.587,-6.226,2.747
0.113,-0.052,0.941,0.305,-1.770,-0.488
0.091,-0.039,0.969,1.648,1.465,-1.709
0.075,-0.016,0.986,-0.061,2.869,-2.625
0.074,-0.001,1.003,-1.648,2.258,-1.526
0.089,-0.032,1.024,-1.709,0.549,0.549
0.128,-0.061,1.022,-1.099,-1.221,0.061
0.134,-0.069,0.980,-0.854,-2.563,-2.686
0.096,-0.037,0.923,-1.160,-0.366,-4.578
0.067,0.005,0.933,-3.235,5.798,-5.676
0.052,0.040,1.029,-3.723,6.958,-3.845
0.071,0.022,1.054,-3.174,5.249,-1.099
0.090,-0.008,1.037,0.183,-1.892,3.052
0.097,-0.020,0.975,1.648,-3.357,3.540
0.095,-0.043,0.981,1.587,-2.075,2.747
0.089,-0.038,0.991,0.061,-1.953,0.854
0.085,-0.017,0.985,-2.380,-2.136,-0.977
0.089,-0.023,0.979,-2.197,-2.075,-0.671
0.090,-0.021,0.973,-1.770,-1.953,-0.549
0.100,-0.047,0.977,-1.404,-1.160,-0.549
0.114,-0.059,0.990,-0.427,0.488,-2.136
0.115,-0.024,1.005,-1.099,0.366,-3.540

-0.159,-1.514,1.137,12.268,61.584,2.258
-0.046,-1.637,1.180,43.945,73.120,-3.052
0.225,-1.368,0.975,39.551,67.444,-13.672
0.296,-0.900,0.846,-3.113,60.181,-26.489
0.385,0.105,1.021,-17.944,57.617,-5.737
0.474,0.215,1.164,-14.160,23.987,62.195
0.693,-0.120,1.200,-14.221,-10.620,64.758
0.832,-0.020,0.878,-27.344,-81.482,1.221
1.012,0.144,-0.164,-39.856,-83.008,-42.175
0.951,0.158,-0.377,-60.669,-46.021,-94.116
0.352,0.858,0.617,-102.295,92.896,-208.130
-0.214,1.594,1.453,-106.445,137.634,-239.929
-0.878,2.263,2.096,-80.078,102.112,-173.950
-1.402,2.232,2.510,-44.434,43.152,-84.167
-1.012,1.552,2.095,30.518,-86.609,84.595
0.184,0.244,0.555,44.800,-122.559,122.498
0.539,-0.192,-0.002,29.358,-87.769,109.863
0.664,-0.455,-0.004,25.940,-35.767,83.069
0.641,-0.366,0.427,28.259,36.011,43.762
0.568,-0.376,0.987,22.400,37.109,34.668
0.487,-0.421,1.085,12.756,18.982,9.338
0.297,-0.207,1.212,11.047,12.390,-6.897
0.237,-0.063,1.283,5.920,5.249,-17.029
0.220,-0.030,1.243,-10.559,-15.991,-16.541
0.197,-0.018,1.009,-13.245,-20.081,-15.320
0.148,0.033,1.000,-7.080,-12.390,-14.221
0.062,0.182,1.098,-3.174,-10.925,-11.658
0.097,0.148,1.118,1.831,-22.766,2.747
0.214,-0.098,0.903,1.282,-32.166,7.202
0.237,-0.177,0.712,-2.197,-30.640,1.587
0.192,-0.152,0.563,-3.845,-14.954,-6.104
0.144,-0.065,0.709,-5.310,24.048,-16.907
0.088,0.021,1.274,-4.883,32.043,-16.541
0.076,0.006,1.426,-3.479,26.428,-13.367
0.050,-0.013,1.407,2.136,-3.845,-9.155
-0.037,0.064,1.084,4.028,-14.465,-8.911
-0.060,0.068,0.949,3.235,-11.414,-3.723
-0.051,0.032,0.922,5.371,0.244,-1.404
-0.017,0.034,1.047,13.672,17.639,0.854
0.043,-0.001,1.198,14.404,13.245,2.686
0.065,-0.041,1.131,7.385,-9.705,6.836
0.087,-0.058,0.812,3.052,-14.954,6.897
0.085,-0.065,0.764,0.305,-1.160,3.967
0.091,-0.043,0.956,-0.061,6.409,1.953
0.104,-0.047,1.044,-0.671,8.179,0.977
0.113,-0.068,1.064,-1.404,-2.808,0.183
0.117,-0.011,0.923,-1.709,-9.460,0.305
0.114,-0.013,0.844,-1.709,-8.301,4.150
0.109,-0.053,0.919,-0.793,-0.793,4.395
0.105,-0.063,1.010,0.061,8.118,0.732
0.113,-0.014,1.073,0.244,6.042,-0.549
0.127,-0.021,1.057,-2.075,-6.348,2.258
0.134,-0.091,0.978,-5.737,-12.878,2.808
0.115,-0.076,0.906,-8.850,-14.038,-1.038
0.092,-0.031,0.887,-6.897,-6.531,-2.441
0.111,-0.037,0.965,-1.404,5.737,-3.296
0.121,-0.028,1.000,-1.160,5.127,-3.235
0.109,-0.024,0.987,-1.465,2.869,-2.441
0.065,-0.019,0.982,-2.686,-1.526,-0.916
0.046,0.000,0.946,-4.028,-2.747,-1.038
0.049,0.004,0.916,-2.808,4.272,-0.305
0.115,-0.042,0.958,-0.671,9.888,0.244
0.132,-0.042,1.016,0.732,14.038,-0.061
0.100,0.003,1.127,1.404,11.963,-0.061
0.080,0.015,1.141,2.869,1.892,2.441
0.102,-0.039,1.073,3.113,-2.747,3.845
0.120,-0.071,1.026,0.977,-4.211,1.282
0.112,-0.042,1.013,1.282,-1.953,-1.404
0.089,-0.006,1.021,2.014,-0.854,-2.869
0.082,-0.004,1.006,0.793,-4.333,-0.671
0.097,-0.047,0.997,0.183,-6.470,1.160
0.106,-0.066,0.985,-4.700,-9.827,-0.793
0.093,-0.013,0.928,-7.080,-9.460,-2.625
0.087,0.005,0.937,-2.930,-0.183,-1.953
0.118,-0.060,1.108,0.366,2.319,-0.793
0.126,-0.070,1.118,0.732,-8.545,-2.075
0.087,-0.015,0.975,-1.587,-14.954,-3.296
0.060,0.022,0.911,-6.104,-15.442,-3.174
0.024,0.022,0.944,-5.066,-8.911,-1.953
0.031,0.010,1.024,0.977,0.793,0.549
0.062,-0.005,1.039,3.113,-0.244,1.587
0.060,-0.001,0.984,4.944,-1.831,2.380
0.066,-0.014,0.974,7.080,-0.183,3.784
0.079,-0.031,0.986,5.249,-0.244,4.028
0.090,-0.052,0.980,-0.549,-2.869,2.869
0.071,-0.049,0.960,-1.953,-2.380,1.160
0.060,-0.019,0.982,-0.916,0.488,-0.549
0.085,-0.032,1.011,-0.854,-0.732,-0.061
0.099,-0.059,0.981,-3.967,-5.981,-1.099
0.076,-0.041,0.937,-5.066,-6.348,-2.808
0.046,0.001,0.948,-4.517,-2.502,-3.418
0.022,0.052,1.036,-2.869,-0.732,-0.977
0.043,0.021,1.083,1.099,-3.784,5.676
0.100,-0.067,1.073,1.465,-8.850,6.592
0.106,-0.074,0.991,0.549,-13.794,5.371
0.078,-0.035,0.806,-0.916,-12.207,0.977
0.071,-0.019,0.839,-1.221,-3.967,-0.061
0.076,-0.028,0.947,-2.625,9.338,0.122
0.093,-0.052,1.113,-2.808,8.667,-0.549
0.087,-0.051,1.104,-3.052,0.183,-3.113
0.042,0.012,1.022,-1.953,-2.502,-3.967
0.033,0.035,1.005,-1.282,-4.456,-0.916
0.056,0.008,1.013,-1.038,-4.822,1.526
0.071,-0.024,1.014,1.343,-4.028,3.052
0.070,-0.053,0.990,1.404,-2.686,1.343
0.061,-0.024,0.980,1.099,1.099,-1.892
0.057,-0.008,0.998,1.221,2.258,-1.709
0.064,-0.010,1.007,1.343,2.197,-0.977
0.068,-0.017,1.008,-0.427,0.183,0.183
0.063,-0.048,1.000,-1.465,-0.854,-0.183
0.056,-0.028,0.986,-2.014,-2.502,-2.014
0.039,0.032,0.967,-1.526,-2.686,-1.221
0.044,0.007,0.980,0.244,-2.136,2.747
0.084,-0.059,0.995,0.305,-2.747,3.235
0.097,-0.065,0.976,-0.549,-3.052,0.610
0.082,-0.037,0.956,-0.610,-1.282,-1.282
0.063,0.000,0.974,-0.427,1.465,-2.441
0.049,0.005,1.039,-0.854,0.610,-0.793
0.063,-0.029,1.058,-2.686,-6.287,1.282

-0.348,-1.209,1.325,-10.132,19.531,-2.014
-0.320,-1.386,1.318,-12.695,14.282,-5.920
-0.220,-1.593,1.156,-11.841,14.099,-15.808
-0.190,-1.469,0.988,-11.963,26.611,-51.086
-0.153,-0.823,0.828,-12.573,40.833,-61.401
-0.102,-0.574,0.913,-8.057,56.335,-36.499
0.140,-0.312,0.992,-4.883,46.875,-11.719
0.314,-0.182,0.885,6.104,11.536,20.569
0.656,0.251,0.655,20.752,-0.427,18.188
0.760,0.523,0.480,36.133,-3.784,3.479
0.804,0.755,0.301,10.132,20.386,-44.495
0.754,1.237,0.304,-34.973,44.189,-62.561
0.691,1.253,0.615,-94.543,89.111,-66.162
0.373,0.478,1.587,-95.825,90.942,-82.275
-0.013,0.624,1.773,-47.607,61.951,-155.396
-0.877,1.855,1.793,-5.676,46.143,-152.893
-0.962,1.955,1.632,41.077,-30.273,-25.879
-0.290,0.967,0.512,29.053,-77.209,45.837
0.139,0.315,0.088,-15.808,-79.041,104.797
0.570,-0.511,0.317,-19.775,-41.199,90.515
0.567,-0.474,0.646,-12.939,-4.700,61.584
0.383,-0.203,1.082,-8.057,28.320,14.038
0.270,-0.111,1.224,-8.240,31.189,2.441
0.162,0.005,1.362,-1.587,20.020,-6.409
0.027,0.189,1.429,0.488,3.906,-4.028
0.032,0.159,1.347,1.648,-31.128,8.484
0.110,0.045,1.054,1.038,-43.945,12.207
0.119,0.028,0.797,-3.235,-47.180,12.268
0.066,0.050,0.581,-2.502,-29.541,12.573
0.065,0.047,0.783,7.629,12.329,18.616
0.147,-0.102,1.110,13.672,17.578,19.836
0.173,-0.103,1.068,17.212,13.489,16.296
0.179,-0.079,0.987,12.634,3.601,7.263
0.187,-0.106,0.943,6.531,2.747,4.272
0.187,-0.125,0.989,-3.418,3.174,-1.831
0.123,-0.101,1.061,-4.272,2.869,-5.493
0.068,-0.032,1.066,-1.404,3.662,-10.864
0.006,0.042,1.160,-0.916,3.357,-10.437
0.009,0.044,1.185,-3.174,-5.981,-8.118
0.034,0.019,1.135,-4.639,-13.245,-6.897
0.038,0.004,0.990,-6.226,-23.010,-4.150
0.032,-0.021,0.711,-4.395,-15.808,-3.174
0.026,-0.002,0.766,-1.343,-1.221,-3.052
0.005,0.088,1.109,4.272,20.874,-1.343
0.017,0.082,1.199,5.920,18.555,2.747
0.046,0.002,1.201,7.812,-0.122,10.620
0.104,-0.114,1.072,6.104,-10.193,9.460
0.110,-0.091,0.948,-1.953,-21.667,2.930
0.093,-0.045,0.756,-1.648,-15.137,0.732
0.085,-0.040,0.858,5.737,8.728,-2.380
0.069,-0.026,1.092,7.019,10.681,-3.479
