aX,aY,aZ,gX,gY,gZ
-0.772,-0.056,0.641,9.033,3.479,2.258
-0.778,-0.085,0.626,-6.775,-3.967,4.944
-0.767,-0.148,0.565,-13.245,-6.226,4.700
-0.759,-0.146,0.559,-10.681,-2.747,2.502
-0.758,-0.128,0.613,-2.502,0.793,2.197
-0.765,-0.132,0.642,7.263,3.174,1.709
-0.773,-0.106,0.660,4.456,1.221,0.732
-0.773,-0.098,0.644,-0.732,-1.709,0.244
-0.770,-0.125,0.619,-7.690,-6.165,1.648
-0.755,-0.177,0.560,-8.301,-6.287,1.648
-0.746,-0.173,0.545,-3.540,-1.038,0.305
-0.753,-0.140,0.576,0.061,2.686,-0.610
-0.765,-0.114,0.604,2.869,6.042,-2.319
-0.773,-0.079,0.643,1.770,5.859,-2.258
-0.764,-0.094,0.665,-0.977,4.333,-0.977
-0.750,-0.165,0.682,-2.075,2.930,-0.977
-0.759,-0.170,0.678,-3.174,-0.122,-2.686
-0.774,-0.110,0.667,-2.869,-1.892,-2.930
-0.778,-0.091,0.647,-3.113,-5.920,-1.892
-0.778,-0.092,0.577,-3.906,-6.897,-1.953
-0.778,-0.093,0.551,-4.639,-5.920,-2.441
-0.766,-0.100,0.593,-1.465,0.916,-2.075
-0.760,-0.100,0.653,2.136,4.089,-1.404
-0.764,-0.101,0.701,3.052,1.770,-1.038
-0.791,-0.106,0.658,0.183,-2.686,-1.160
-0.798,-0.105,0.593,-3.723,-7.446,-1.404
-0.777,-0.105,0.504,-2.808,-5.615,-1.343
-0.761,-0.112,0.511,2.991,3.601,-1.099
-0.756,-0.135,0.613,4.883,7.507,-1.343
-0.773,-0.124,0.664,3.174,6.592,-2.441
-0.794,-0.078,0.660,0.183,2.686,-2.258
-0.788,-0.076,0.627,-5.249,-2.075,-1.099
-0.775,-0.106,0.604,-4.517,-0.854,-0.916
-0.776,-0.116,0.624,3.235,3.906,-0.854
-0.788,-0.110,0.679,4.700,4.028,-0.977
-0.792,-0.094,0.686,2.441,1.831,-1.160
-0.784,-0.065,0.643,-4.272,-4.089,-0.610
-0.774,-0.073,0.619,-4.028,-4.761,0.488
-0.770,-0.087,0.609,0.977,-2.441,2.258
-0.767,-0.118,0.602,1.404,-1.892,2.686
-0.765,-0.134,0.585,-3.723,-2.380,1.831
-0.763,-0.129,0.561,-4.883,-1.221,0.793
-0.760,-0.110,0.571,0.183,4.456,-0.122
-0.755,-0.114,0.654,3.418,6.470,0.061
-0.766,-0.129,0.686,4.822,3.845,-0.549
-0.788,-0.107,0.652,3.296,0.427,-0.732
-0.784,-0.101,0.615,-1.038,-2.686,0.305
-0.758,-0.098,0.590,-2.441,-1.404,0.549
-0.750,-0.099,0.616,-2.686,0.549,0.488
-0.766,-0.125,0.652,-1.648,0.977,0.427
-0.771,-0.125,0.640,-1.709,-0.732,0.305
-0.766,-0.114,0.609,-1.343,-2.930,-0.244
-0.755,-0.089,0.571,-0.610,-1.709,-0.366
-0.761,-0.093,0.593,-0.916,1.709,0.549
-0.770,-0.131,0.648,-1.648,1.648,1.160
-0.767,-0.148,0.642,-1.160,-0.916,0.488
-0.766,-0.149,0.591,-0.122,-1.343,-0.793

-1.724,-0.472,0.649,-0.793,-2.014,39.429
-1.781,-0.533,0.687,-23.254,-10.803,39.246
-1.719,-0.467,0.686,-30.029,-16.602,38.330
-1.686,-0.367,0.616,-22.095,-19.653,44.006
-1.612,-0.251,0.605,-5.798,-14.160,52.429
-1.527,-0.266,0.668,21.423,-7.141,67.749
-1.204,-0.182,0.652,23.193,-10.132,72.021
-0.972,-0.177,0.583,14.954,-18.066,77.881
-0.587,-0.550,0.457,12.085,-18.799,71.167
-0.516,-0.651,0.354,11.353,-17.273,51.941
-0.377,-0.228,0.148,18.433,-4.944,0.610
-0.261,0.021,0.094,24.780,7.385,-12.756
-0.120,0.164,0.094,39.734,41.199,-13.794
0.112,0.139,0.302,50.476,58.716,-11.841
0.127,-0.042,0.458,69.153,79.712,-18.555
0.141,0.021,0.547,70.374,79.956,-28.748
0.163,0.182,0.507,54.199,77.820,-37.720
0.081,-0.040,0.562,40.283,77.942,-38.208
0.017,-0.234,0.562,6.531,63.538,-58.411
-0.155,-0.138,0.330,-9.827,53.345,-73.303
-0.262,0.128,0.274,-21.118,47.058,-80.811
-0.457,0.325,0.420,-17.395,46.143,-51.636
-0.495,0.040,0.543,-5.859,47.546,-23.071
-0.474,-0.291,0.696,10.132,46.021,2.136
-0.455,-0.422,0.993,10.315,39.856,-4.944
